"ISIN","AMC code","Scheme Name","AMC Name","AMC Image"
"INF179K01UT0","H","HDFC Flexi Cap Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01AK1","H","HDFC Equity Savings Fund - IDCW PLAN","HDFC Mutual Fund",""
"INF179K01XR8","H","HDFC Equity Savings Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01AM7","H","HDFC Equity Savings Fund - GROWTH PLAN","HDFC Mutual Fund",""
"INF179K01XT4","H","HDFC Equity Savings Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01400","H","HDFC Capital Builder Value Fund - IDCW Plan","HDFC Mutual Fund",""
"INF179K01VA8","H","HDFC Capital Builder Value Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01426","H","HDFC Capital Builder Value Fund - Growth Plan","HDFC Mutual Fund",""
"INF179K01VC4","H","HDFC Capital Builder Value Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01VY8","H","HDFC Balanced Advantage Fund - IDCW Plan - Direct Plan","HDFC Mutual Fund",""
"INF179K01814","H","HDFC Balanced Advantage Fund - IDCW Plan","HDFC Mutual Fund",""
"INF179K01WA6","H","HDFC Balanced Advantage Fund - Growth Plan - Direct Plan","HDFC Mutual Fund",""
"INF179K01830","H","HDFC Balanced Advantage Fund - Growth Plan","HDFC Mutual Fund",""
"INF179KA1KO7","H","HDFC ARBITRAGE FUND - Wholesale Monthly IDCW Option","HDFC Mutual Fund",""
"INF179KA1KS8","H","HDFC ARBITRAGE FUND - Wholesale Monthly IDCW - Direct Plan","HDFC Mutual Fund",""
"INF179KA1KM1","H","HDFC ARBITRAGE FUND - Wholesale IDCW Option","HDFC Mutual Fund",""
"INF179KA1KT6","H","HDFC ARBITRAGE FUND - Wholesale Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01343","H","HDFC ARBITRAGE FUND - Wholesale Growth Option","HDFC Mutual Fund",""
"INF179K01327","H","HDFC ARBITRAGE FUND - Retail Quarterly IDCW Option","HDFC Mutual Fund",""
"INF179K01319","H","HDFC ARBITRAGE FUND - Retail Growth Option","HDFC Mutual Fund",""
"INF179K01UV6","H","HDFC ARBITRAGE FUND - Quarterly IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01CW2","H","HDFC Short Term Debt Fund(FN-IDCW Reinv)","HDFC Mutual Fund",""
"INF179KA1D82","H","HDFC Medium Term Debt Fund(IDCW-Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179KA1NO1","H","HDFC Medium Term Debt Fund(FN-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01905","H","HDFC Medium Term Debt Fund(FN-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01483","H","HDFC Low Duration Fund(W-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01VH3","H","HDFC Low Duration Fund(M-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01467","H","HDFC Low Duration Fund(M-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01434","H","HDFC Low Duration Fund(DD-IDCW)","HDFC Mutual Fund",""
"INF179KB1HQ7","H","HDFC Liquid Fund(M-IDCW)-Direct Plan","HDFC Mutual Fund",""
"INF179KB1HL8","H","HDFC Liquid Fund(M-IDCW Reinv)","HDFC Mutual Fund",""
"INF179KB1HV7","H","HDFC Liquid Fund(DD-IDCW)-Direct Plan","HDFC Mutual Fund",""
"INF179KB1IC5","H","HDFC Liquid Fund(DD-IDCW)","HDFC Mutual Fund",""
"INF179K01WK5","H","HDFC Income Fund(Q-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01954","H","HDFC Income Fund(Q-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01VT8","H","HDFC Gilt Fund(IDCW-Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01VP6","H","HDFC Floating Rate Debt Fund(M-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01723","H","HDFC Floating Rate Debt Fund(M-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01699","H","HDFC Floating Rate Debt Fund(DD-IDCW)","HDFC Mutual Fund",""
"INF179K01WF5","H","HDFC Dynamic Debt Fund(Q-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01889","H","HDFC Dynamic Debt Fund(Q-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01WD0","H","HDFC Dynamic Debt Fund(H-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01863","H","HDFC Dynamic Debt Fund(H-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01939","H","HDFC Dynamic Debt Fund(A-IDCW Reinv)","HDFC Mutual Fund",""
"INF179K01XC0","H","HDFC Corp Bond Fund(Q-IDCW Reinv)-Direct Plan","HDFC Mutual Fund",""
"INF179K01DE8","H","HDFC Corp Bond Fund(Q-IDCW Reinv)","HDFC Mutual Fund",""
"INF179KA1Q79","H","HDFC Short Term  Debt Fund - Normal IDCW Option","HDFC Mutual Fund",""
"INF179KA1Q53","H","HDFC Short Term  Debt Fund - Normal IDCW - Direct Plan","HDFC Mutual Fund",""
"INF179K01YM7","H","HDFC Short Term  Debt Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01CU6","H","HDFC Short Term  Debt Fund - Growth Option","HDFC Mutual Fund",""
"INF179K01CV4","H","HDFC Short Term  Debt Fund - Fortnightly IDCW Option","HDFC Mutual Fund",""
"INF179KB1HU9","H","HDFC Money Market Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179KB1HR5","H","HDFC Money Market Fund - Growth Option","HDFC Mutual Fund",""
"INF179KA1D90","H","HDFC Medium Term Debt Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1E16","H","HDFC Medium Term Debt Fund - IDCW Option","HDFC Mutual Fund",""
"INF179K01WI9","H","HDFC Medium Term Debt Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01913","H","HDFC Medium Term Debt Fund - Growth Option","HDFC Mutual Fund",""
"INF179KA1NP8","H","HDFC Medium Term Debt Fund - Fortnightly IDCW Opt - Direct Plan","HDFC Mutual Fund",""
"INF179K01897","H","HDFC Medium Term Debt Fund - Fornightly IDCW Option","HDFC Mutual Fund",""
"INF179K01475","H","HDFC Low Duration  Fund - Weekly IDCW","HDFC Mutual Fund",""
"INF179K01459","H","HDFC Low Duration  Fund - Monthly IDCW","HDFC Mutual Fund",""
"INF179K01442","H","HDFC Low Duration  Fund - Growth","HDFC Mutual Fund",""
"INF179K01VG5","H","HDFC Low Duration  Fund - Direct Plan - Monthly IDCW","HDFC Mutual Fund",""
"INF179K01VF7","H","HDFC Low Duration  Fund - Direct Plan - Growth","HDFC Mutual Fund",""
"INF179KB1HO2","H","HDFC Liquid Fund - IDCW Monthly - Direct Plan","HDFC Mutual Fund",""
"INF179KB1HM6","H","HDFC Liquid Fund - IDCW Monthly","HDFC Mutual Fund",""
"INF179KB1HK0","H","HDFC Liquid Fund - Growth Plan","HDFC Mutual Fund",""
"INF179KB1HP9","H","HDFC Liquid Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01WJ7","H","HDFC Income Fund - Quarterly IDCW- Direct Plan","HDFC Mutual Fund",""
"INF179KA1Q38","H","HDFC Income Fund - Normal IDCW Option","HDFC Mutual Fund",""
"INF179KA1Q12","H","HDFC Income Fund - Normal IDCW - Direct Plan","HDFC Mutual Fund",""
"INF179K01772","H","HDFC Gilt Fund - IDCW Plan","HDFC Mutual Fund",""
"INF179K01VR2","H","HDFC Gilt Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01756","H","HDFC Gilt Fund - Growth Plan","HDFC Mutual Fund",""
"INF179K01731","H","HDFC Floating Rate Debt Fund - Weekly IDCW Option","HDFC Mutual Fund",""
"INF179K01715","H","HDFC Floating Rate Debt Fund - Monthly IDCW Option","HDFC Mutual Fund",""
"INF179K01707","H","HDFC Floating Rate Debt Fund - Growth Option","HDFC Mutual Fund",""
"INF179K01VO9","H","HDFC Floating Rate Debt Fund - Direct Plan - Monthly IDCW","HDFC Mutual Fund",""
"INF179K01VQ4","H","HDFC Floating Rate Debt Fund - Direct Plan - Growth Option","HDFC Mutual Fund",""
"INF179K01921","H","HDFC Dynamic Debt Fund - Yearly IDCW Option","HDFC Mutual Fund",""
"INF179K01WG3","H","HDFC Dynamic Debt Fund - Yearly IDCW - Direct Plan","HDFC Mutual Fund",""
"INF179K01871","H","HDFC Dynamic Debt Fund - Quarterly IDCW Option","HDFC Mutual Fund",""
"INF179K01WE8","H","HDFC Dynamic Debt Fund - Quarterly IDCW - Direct Plan","HDFC Mutual Fund",""
"INF179KA1R11","H","HDFC Dynamic Debt Fund - Normal IDCW Option","HDFC Mutual Fund",""
"INF179KA1Q95","H","HDFC Dynamic Debt Fund - Normal IDCW - Direct Plan","HDFC Mutual Fund",""
"INF179K01855","H","HDFC Dynamic Debt Fund - Half Yearly IDCW Option","HDFC Mutual Fund",""
"INF179K01WC2","H","HDFC Dynamic Debt Fund - Half Yearly IDCW - Direct Plan","HDFC Mutual Fund",""
"INF179K01WB4","H","HDFC Dynamic Debt Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01848","H","HDFC Dynamic Debt Fund - Growth Option","HDFC Mutual Fund",""
"INF179K01XB2","H","HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179K01DD0","H","HDFC Corporate Bond Fund - Quarterly IDCW Option","HDFC Mutual Fund",""
"INF179KA1D17","H","HDFC Corporate Bond Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1D33","H","HDFC Corporate Bond Fund - IDCW Option","HDFC Mutual Fund",""
"INF179K01DC2","H","HDFC Corporate Bond Fund - Growth Option","HDFC Mutual Fund",""
"INF179KA1JA8","H","HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1JD2","H","HDFC Banking and PSU Debt Fund - IDCW Option","HDFC Mutual Fund",""
"INF179KA1IZ7","H","HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan","HDFC Mutual Fund",""
"INF179KA1JC4","H","HDFC Banking and PSU Debt Fund - Growth Option","HDFC Mutual Fund",""
"INF109K01TS1","P","ICICI PRUDENTIAL ULTRA SHORT TERM FUND - QUARTERLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K01TT9","P","ICICI Prudential Ultra Short Term Fund - Quarterly IDCW","ICICI Prudential Mutual Fund",""
"INF109K01TQ5","P","ICICI PRUDENTIAL ULTRA SHORT TERM FUND - MONTHLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K01TR3","P","ICICI Prudential Ultra Short Term Fund - Monthly IDCW","ICICI Prudential Mutual Fund",""
"INF109K01TU7","P","ICICI PRUDENTIAL ULTRA SHORT TERM FUND - HALF YEARLY IDCW PAYOUT","ICICI Prudential Mutual Fund",""
"INF109K01TV5","P","ICICI Prudential Ultra Short Term Fund - Half Yearly IDCW","ICICI Prudential Mutual Fund",""
"INF109K01TP7","P","ICICI PRUDENTIAL ULTRA SHORT TERM FUND - GROWTH","ICICI Prudential Mutual Fund",""
