name
"DEOGIRI NAGARI SAHAKARI BANK LTD. AURANGABAD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"DEOGIRI NAGARI SAHAKARI BANK LTD. AURANGABAD",1
"DEUSTCHE BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"DEUSTCHE BANK",1
"DEPOSIT INSURANCE AND CREDIT GUARANTEE CORPORATION","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"DEPOSIT INSURANCE AND CREDIT GUARANTEE CORPORATION",1
"THE DELHI STATE COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE DELHI STATE COOPERATIVE BANK LIMITED",1
"DHANALAKSHMI BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"DHANALAKSHMI BANK",1
"DMK JAOLI BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"DMK JAOLI BANK",1
"DOMBIVLI NAGARI SAHAKARI BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"DOMBIVLI NAGARI SAHAKARI BANK LIMITED",1
"DOHA BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"DOHA BANK",1
"DURGAPUR STEEL PEOPLES CO-OPERATIVE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"DURGAPUR STEEL PEOPLES CO-OPERATIVE BANK LTD",1
"EMIRATES NBD BANK P J S C","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"EMIRATES NBD BANK P J S C",1
"EXPORT IMPORT BANK OF INDIA","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"EXPORT IMPORT BANK OF INDIA",1
"EQUITAS SMALL FINANCE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"EQUITAS SMALL FINANCE BANK LIMITED",1
"ESAF SMALL FINANCE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"ESAF SMALL FINANCE BANK LIMITED",1
"FEDERAL BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"FEDERAL BANK",1
"FINO PAYMENTS BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"FINO PAYMENTS BANK",1
"FIRSTRAND BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"FIRSTRAND BANK LIMITED",1
"FINCARE SMALL FINANCE BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"FINCARE SMALL FINANCE BANK LTD",1
"THE GREATER BOMBAY COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE GREATER BOMBAY COOPERATIVE BANK LIMITED",1
"THE GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE GADCHIROLI DISTRICT CENTRAL COOPERATIVE BANK LIMITED",1
"THE GUJARAT STATE COOPERATIVE BANK LIMITED","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE GUJARAT STATE COOPERATIVE BANK LIMITED",1
"HARYANA STATE COOPERATIVE BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"HARYANA STATE COOPERATIVE BANK",1
"THE HASTI COOP BANK LTD","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"THE HASTI COOP BANK LTD",1
"HDFC BANK","2022-05-10 18:35:52.864867","2022-05-10 18:35:52.864867","Administrator","Administrator",0,"","","",0,"HDFC BANK",1
