Pincode|New District|State Name|State|Remarks
122506|GURUGRAM|HARYANA|HR|No change
122508|Nuh|HARYANA|HR|No change
123001|Mahendragarh|HARYANA|HR|No change
123021|Mahendragarh|HARYANA|HR|No change
123023|Mahendragarh|HARYANA|HR|No change
123024|Mahendragarh|HARYANA|HR|No change
123027|Mahendragarh|HARYANA|HR|No change
123028|Mahendragarh|HARYANA|HR|No change
123029|Mahendragarh|HARYANA|HR|No change
123031|Mahendragarh|HARYANA|HR|No change
123034|Mahendragarh|HARYANA|HR|No change
123035|Rewari|HARYANA|HR|No change
123101|Rewari|HARYANA|HR|No change
123102|Rewari|HARYANA|HR|No change
123103|Rewari|HARYANA|HR|No change
123106|Rewari|HARYANA|HR|No change
123110|Rewari|HARYANA|HR|No change
123301|Rewari|HARYANA|HR|No change
123302|Rewari|HARYANA|HR|No change
123303|Rewari|HARYANA|HR|No change
123401|Rewari|HARYANA|HR|No change
123411|Rewari|HARYANA|HR|No change
123412|Rewari|HARYANA|HR|No change
123501|REWARI|HARYANA|HR|No change
124001|Rohtak|HARYANA|HR|No change
124010|Rohtak|HARYANA|HR|No change
124022|Rohtak|HARYANA|HR|No change
124102|Jhajjar|HARYANA|HR|No change
124103|Jhajjar|HARYANA|HR|No change
124104|Jhajjar|HARYANA|HR|No change
124105|Jhajjar|HARYANA|HR|No change
124106|Jhajjar|HARYANA|HR|No change
124107|Jhajjar|HARYANA|HR|No change
124108|Jhajjar|HARYANA|HR|No change
124109|Jhajjar|HARYANA|HR|No change
124111|Rohtak|HARYANA|HR|No change
124112|Rohtak|HARYANA|HR|No change
124113|Rohtak|HARYANA|HR|No change
124141|Jhajjar|HARYANA|HR|No change
124142|Jhajjar|HARYANA|HR|No change
124146|Jhajjar|HARYANA|HR|No change
124303|Rohtak|HARYANA|HR|No change
124401|Rohtak|HARYANA|HR|No change
124406|Rohtak|HARYANA|HR|No change
124411|Rohtak|HARYANA|HR|No change
124504|Jhajjar|HARYANA|HR|No change
124505|Jhajjar|HARYANA|HR|No change
124506|Jhajjar|HARYANA|HR|No change
124507|Jhajjar|HARYANA|HR|No change
124508|Jhajjar|HARYANA|HR|No change
124513|Rohtak|HARYANA|HR|No change
124514|Rohtak|HARYANA|HR|No change
125001|Hisar|HARYANA|HR|No change
125004|Hisar|HARYANA|HR|No change
125005|Hisar|HARYANA|HR|No change
125006|Hisar|HARYANA|HR|No change
125007|Hisar|HARYANA|HR|No change
125011|Hisar|HARYANA|HR|No change
125033|Hisar|HARYANA|HR|No change
125037|Hisar|HARYANA|HR|No change
125038|Hisar|HARYANA|HR|No change
125039|Hisar|HARYANA|HR|No change
125042|Hisar|HARYANA|HR|No change
125044|Hisar|HARYANA|HR|No change
125048|Fatehabad|HARYANA|HR|No change
125049|Hisar|HARYANA|HR|No change
125051|Fatehabad|HARYANA|HR|No change
125052|Hisar|HARYANA|HR|No change
125053|Fatehabad|HARYANA|HR|No change
125054|Sirsa|HARYANA|HR|No change
125055|Sirsa|HARYANA|HR|No change
125056|Sirsa|HARYANA|HR|No change
125058|Sirsa|HARYANA|HR|No change
125060|Sirsa|HARYANA|HR|No change
125075|Sirsa|HARYANA|HR|No change
125076|Sirsa|HARYANA|HR|No change
125077|Sirsa|HARYANA|HR|No change
125078|Sirsa|HARYANA|HR|No change
125101|Sirsa|HARYANA|HR|No change
125102|Sirsa|HARYANA|HR|No change
125103|Sirsa|HARYANA|HR|No change
125104|Sirsa|HARYANA|HR|No change
125106|Fatehabad|HARYANA|HR|No change
125110|Sirsa|HARYANA|HR|No change
125111|Fatehabad|HARYANA|HR|No change
125120|Fatehabad|HARYANA|HR|No change
125121|Hisar|HARYANA|HR|No change
125133|Fatehabad|HARYANA|HR|No change
125201|Sirsa|HARYANA|HR|No change
126101|Jind|HARYANA|HR|No change
126102|Jind|HARYANA|HR|No change
126110|Jind|HARYANA|HR|No change
126111|Jind|HARYANA|HR|No change
126112|Jind|HARYANA|HR|No change
126113|Jind|HARYANA|HR|No change
126114|Jind|HARYANA|HR|No change
